name,rt,pair,foil,trial,error,first_press
22,1.479697,4,6,8,0,1
22,1.922023,4,6,20,0,2
22,1.345964,4,8,16,0,2
23,2.380406,2,5,7,1,1
23,2.891885,4,6,2,1,1
23,2.876695,2,5,19,1,2
23,1.397379,3,8,4,0,1
23,1.291119,2,7,15,0,2
23,1.203418,3,8,16,1,2
23,1.800322,1,5,13,1,2
23,1.899321,4,6,14,1,2
23,2.643802,1,5,1,0,1
23,2.759104,3,6,20,0,2
23,1.397616,4,9,22,0,2
23,1.441276,3,6,8,0,1
23,2.452057,1,10,21,0,2
23,2.433805,1,10,9,0,1
23,6.164625,2,7,3,0,1
23,1.422361,4,9,10,1,1
24,1.962202,4,8,4,0,1
24,1.543958,1,5,13,0,2
24,1.599439,3,9,10,0,1
24,1.668015,1,5,1,0,1
24,2.213961,2,5,7,1,1
24,1.993985,3,9,22,0,2
24,1.618277,2,5,19,0,2
24,1.054481,1,10,21,1,2
24,1.345443,4,6,20,0,2
24,1.904698,3,6,2,1,1
24,1.836846,2,7,15,0,2
24,1.31971,3,6,14,1,2
24,1.510781,1,10,9,1,1
24,2.791878,4,8,16,0,2
24,1.524681,2,7,3,0,1
24,1.404791,4,6,8,1,1
25,1.036011,1,5,1,1,1
25,4.149751,1,5,13,0,2
25,2.099958,3,9,10,0,1
25,3.619597,4,8,4,0,1
25,2.008378,2,7,3,1,1
25,1.983265,2,5,19,0,2
25,2.076179,2,7,15,0,2
25,2.65696,4,6,8,1,1
25,1.706907,1,10,21,0,2
25,2.587487,3,9,22,0,2
25,2.264645,3,6,2,0,1
25,2.354236,3,6,14,0,2
25,1.600155,1,10,9,0,1
25,1.580711,4,8,16,0,2
25,1.680573,2,5,7,0,1
25,1.890051,4,6,20,0,2
26,5.308112,2,6,20,0,2
26,1.704589,4,5,19,1,2
26,2.1695,2,8,4,1,1
26,1.455192,3,6,2,0,1
26,1.945858,4,5,7,0,1
26,2.0971,4,7,3,0,1
26,1.27399,4,7,15,0,2
26,1.596251,1,5,1,1,1
26,2.529931,3,9,22,0,2
26,2.433526,3,9,10,0,1
26,1.293152,1,5,13,1,2
26,1.034845,1,10,21,0,2
26,4.545266,3,6,14,0,2
26,1.545446,1,10,9,0,1
26,1.034858,2,8,16,0,2
26,1.034669,2,6,8,1,1
27,4.211141,1,8,16,1,2
27,2.633622,3,6,2,1,1
27,2.052992,2,5,7,0,1
27,1.798732,2,7,3,0,1
27,1.635154,3,6,14,0,2
27,1.454257,3,9,22,1,2
27,1.567746,1,6,8,1,1
27,1.493588,2,5,19,0,2
27,1.526257,1,8,4,1,1
27,2.874837,4,5,13,0,2
27,1.612489,1,6,20,1,2
27,1.640574,4,10,21,0,2
27,1.603887,3,9,10,1,1
27,1.622026,4,10,9,1,1
27,1.706276,2,7,15,0,2
27,1.654647,4,5,1,0,1
28,3.705594,2,5,19,0,2
28,1.489852,3,6,14,0,2
28,1.634358,1,10,21,0,2
28,3.790136,2,7,15,0,2
28,1.947177,4,6,20,0,2
28,1.486486,3,9,10,0,1
28,3.821952,2,7,3,0,1
28,1.649257,3,9,22,0,2
28,2.044095,4,8,16,0,2
28,2.199954,2,5,7,0,1
28,1.652345,1,5,13,0,2
28,4.999153,1,10,9,0,1
28,2.088051,1,5,1,0,1
28,1.626104,3,6,2,1,1
28,1.717585,4,8,4,0,1
28,1.034881,4,6,8,0,1
29,3.176412,3,9,22,1,2
29,3.502504,1,10,9,0,1
29,1.510939,4,6,8,1,1
29,1.455011,2,7,3,0,1
29,1.681149,4,8,16,1,2
29,1.443588,1,5,1,0,1
29,1.214439,4,8,4,1,1
29,1.042979,1,10,21,0,2
29,1.398704,3,9,10,1,1
29,1.697995,2,7,15,0,2
29,2.178485,3,6,14,1,2
29,1.504481,3,6,2,1,1
29,1.241644,1,5,13,0,2
29,1.332286,2,5,7,0,1
29,1.355479,4,6,20,1,2
29,1.234135,2,5,19,1,2
30,9.959147,3,9,22,1,2
30,2.941162,4,6,20,1,2
30,2.498791,1,5,1,1,1
30,2.39564,2,7,15,0,2
30,2.416737,2,7,3,0,1
30,2.997497,1,10,9,0,1
30,2.74608,4,6,8,0,1
30,3.554678,3,9,10,0,1
30,1.984584,4,8,4,1,1
30,2.2384,2,5,7,1,1
30,1.889613,1,5,13,1,2
30,2.010365,3,6,2,1,1
30,2.263024,2,5,19,1,2
30,2.121556,4,8,16,0,2
30,1.856911,1,10,21,1,2
30,1.891479,3,6,14,1,2
31,4.485221,4,6,8,0,1
31,2.74188,2,7,15,0,2
31,1.829208,1,10,9,1,1
31,3.481033,3,9,10,1,1
31,2.394765,1,10,21,0,2
31,4.856665,3,6,14,1,2
31,1.874739,2,7,3,0,1
31,1.644809,3,6,2,0,1
31,1.665915,1,5,13,1,2
31,2.451626,3,9,22,0,2
31,1.582346,4,8,4,0,1
31,1.502282,4,8,16,0,2
31,1.67074,2,5,7,0,1
31,1.632429,4,6,20,0,2
31,2.082268,1,5,1,0,1
31,2.075252,2,5,19,1,2
32,5.493275,2,5,19,1,2
32,1.532593,4,10,9,1,1
32,1.756758,1,8,16,0,2
32,1.211484,3,9,10,0,1
32,2.248291,4,5,13,0,2
32,2.698947,1,8,4,0,1
32,1.613875,2,7,15,0,2
32,2.74244,4,5,1,1,1
32,2.189628,2,5,7,1,1
32,1.962889,1,6,8,0,1
32,1.385274,3,6,14,1,2
32,3.686485,3,6,2,0,1
32,1.463476,2,7,3,0,1
32,1.690135,1,6,20,0,2
32,1.284492,4,10,21,0,2
32,1.639752,3,9,22,0,2
33,1.855242,1,10,21,0,2
33,4.080843,4,6,8,0,1
33,1.810975,3,9,10,0,1
33,1.647489,3,6,2,0,1
33,1.668037,3,9,22,0,2
33,1.109298,2,5,19,1,2
33,4.043983,4,8,16,0,2
