name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,0.883141,0,1,136,4,3,6
1,1.467786,0,3,127,3,4,7
1,0.880526,1,1,53,3,10,2
1,1.523054,1,2,69,3,11,8
1,0.786025,0,2,25,2,9,2
1,0.657876,0,2,141,4,3,5
1,0.800802,1,3,51,3,9,4
1,1.326463,0,1,95,4,12,2
1,1.938509,0,3,36,2,12,4
1,1.280366,0,1,106,1,2,5
1,1.703026,0,1,4,1,10,1
1,0.890539,0,2,90,4,10,1
1,0.961316,0,3,48,2,12,3
1,2.395849,0,3,26,2,9,3
1,1.479735,0,3,111,2,1,7
1,0.904321,0,2,85,4,9,8
1,0.678609,0,2,73,4,9,1
1,0.837051,1,3,3,1,9,3
1,1.409217,1,1,137,4,3,6
1,1.512092,0,1,59,3,12,2
1,1.196576,0,2,21,1,11,2
1,1.572344,0,3,135,4,3,7
1,1.389167,0,3,139,4,3,7
1,0.923242,0,2,93,4,11,8
1,0.786122,0,2,81,4,11,1
1,1.706265,0,3,19,1,11,3
1,0.752308,0,2,13,1,9,2
1,1.293867,0,3,99,1,2,7
1,1.027215,0,3,15,1,9,4
1,1.012075,0,2,109,2,1,6
1,1.041837,1,1,88,4,10,2
1,2.233964,1,1,125,3,4,6
1,0.669667,0,2,9,1,11,2
1,1.144773,1,2,92,4,11,1
1,0.825082,0,2,37,2,9,2
1,0.990569,1,2,56,3,11,8
1,1.269357,0,1,118,2,1,5
1,0.806953,0,1,58,3,12,2
1,1.063525,1,1,23,1,12,8
1,1.267895,1,2,126,3,4,5
1,0.87374,0,2,57,3,11,1
1,0.767745,0,2,8,1,11,2
1,0.954831,0,3,79,4,11,3
1,1.072415,0,2,44,2,11,2
1,2.109571,0,3,14,1,9,4
1,1.33233,0,1,107,1,2,5
1,1.309736,0,2,117,2,1,6
1,0.968627,0,1,64,3,10,2
1,1.339843,1,1,113,2,1,5
1,0.879035,0,1,52,3,10,2
1,1.002745,0,3,7,1,11,4
1,2.424016,0,1,10,1,12,8
1,0.765594,0,1,16,1,10,8
1,0.902895,0,2,66,3,10,1
1,0.932637,1,1,130,3,4,6
1,1.052862,0,3,110,2,1,7
1,1.065384,1,2,80,4,11,8
1,1.123273,1,2,128,3,4,5
1,1.254449,0,3,87,4,9,3
1,1.308792,0,2,121,3,4,5
1,1.067871,0,3,24,1,12,3
1,1.651553,0,3,91,4,11,4
1,1.29885,1,3,96,4,12,3
1,0.885211,0,1,34,2,12,8
1,0.905204,1,2,78,4,10,8
1,1.122528,0,3,50,3,9,3
1,0.818672,1,1,112,2,1,5
1,1.114593,0,1,119,2,1,5
1,0.983783,0,3,27,2,9,3
1,0.92083,0,3,144,4,3,7
1,1.410642,0,3,123,3,4,7
1,1.57189,0,2,54,3,10,8
1,0.831706,0,2,61,3,9,8
1,1.601205,0,3,98,1,2,7
1,1.093682,0,2,68,3,11,1
1,1.057388,0,1,76,4,10,2
1,0.792679,0,2,20,1,11,2
1,1.053556,0,3,62,3,9,4
1,1.004744,0,3,72,3,12,3
1,1.0964,0,3,48,2,12,3
1,0.781027,0,2,9,1,11,2
1,0.758561,0,2,66,3,10,1
1,1.132426,0,1,130,3,4,6
1,1.045358,0,2,92,4,11,1
1,1.15247,0,1,11,1,12,1
1,0.880887,0,2,105,1,2,6
1,2.120745,1,3,127,3,4,7
1,1.058497,1,1,52,3,10,2
1,0.890296,0,2,56,3,11,8
1,0.923487,1,2,93,4,11,8
1,0.934876,0,2,129,3,4,5
1,1.271191,0,3,74,4,9,3
1,1.426029,0,3,7,1,11,4
1,1.944387,1,1,131,3,4,6
1,1.215631,0,3,135,4,3,7
1,1.134602,0,2,126,3,4,5
1,0.847708,0,1,82,4,12,2
1,1.564175,0,2,57,3,11,1
1,0.747942,1,3,12,1,12,4
1,0.720961,0,1,58,3,12,2
1,0.594642,0,1,41,2,10,1
1,0.606877,0,2,78,4,10,8
1,0.616725,0,2,109,2,1,6
1,0.546587,0,2,33,2,11,2
1,0.801881,0,3,122,3,4,7
1,0.874413,0,3,79,4,11,3
1,0.805952,0,2,117,2,1,6
1,1.079725,0,3,91,4,11,4
1,1.06293,0,3,103,1,2,7
1,0.749121,0,2,141,4,3,5
1,0.820717,0,2,1,1,9,2
1,0.71428,0,2,13,1,9,2
1,1.215725,0,1,34,2,12,8
1,0.948673,0,1,95,4,12,2
1,0.943611,0,1,137,4,3,6
1,0.710413,0,2,37,2,9,2
1,0.874904,0,1,53,3,10,2
