name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
50,0.700886,2,0,116,2,1,3,2
50,0.482494,1,0,75,3,9,0,2
50,0.658562,1,0,130,3,4,3,2
50,0.611357,2,0,13,2,9,1,1
50,0.709929,2,0,59,1,12,3,2
50,0.683543,2,0,21,2,11,1,1
50,0.811433,2,0,111,2,1,1,1
50,0.566796,2,0,41,4,10,1,1
50,0.562199,1,0,99,1,2,2,2
50,0.663176,2,0,40,4,10,1,1
50,0.830988,2,0,119,2,1,2,2
50,0.535914,1,0,38,4,9,1,1
50,0.628555,2,0,136,4,3,3,2
50,0.399163,2,0,5,1,10,1,1
50,0.497944,2,0,33,3,11,1,1
50,0.824259,2,0,12,1,12,1,1
50,0.490424,1,0,18,2,10,1,1
50,0.705977,1,0,85,4,9,2,2
50,0.74426,1,0,141,4,3,3,2
50,0.662001,2,0,74,3,9,0,2
50,0.877833,2,0,28,3,10,1,1
50,0.58199,2,0,122,3,4,2,2
50,0.690023,1,0,26,3,9,1,1
50,0.523697,1,0,42,4,10,1,1
50,0.448869,1,0,89,4,10,1,1
50,0.514328,2,0,5,1,10,1,1
50,0.495916,1,0,32,3,11,1,1
50,0.462709,1,0,88,4,10,3,2
50,0.798549,2,0,52,1,10,0,2
50,0.538041,1,0,121,3,4,2,2
50,0.638566,1,0,141,4,3,3,2
50,0.648398,2,0,74,3,9,0,2
50,0.680584,1,0,45,4,11,1,1
50,0.440219,1,0,18,2,10,1,1
50,0.456805,1,0,114,2,1,3,2
50,0.44184,1,0,84,3,12,0,2
50,0.57096,2,0,111,2,1,1,1
50,0.438825,1,0,20,2,11,1,1
50,0.760489,2,0,33,3,11,1,1
50,0.61296,2,0,61,2,9,2,2
50,0.615178,2,0,129,3,4,2,2
50,0.609177,2,0,8,1,11,1,1
50,0.659898,2,0,17,2,10,1,1
50,0.523629,2,0,119,2,1,2,2
50,0.689789,1,0,75,3,9,0,2
50,0.530077,1,0,97,1,2,3,2
50,0.654503,2,0,108,1,2,1,1
50,0.655446,2,0,51,1,9,2,2
50,0.719229,2,0,76,3,10,1,1
50,0.541387,1,0,26,3,9,1,1
50,0.611052,2,0,27,3,9,1,1
50,0.446147,1,0,37,4,9,1,1
50,0.774384,1,0,99,1,2,2,2
50,0.538919,2,0,79,3,11,2,2
50,0.471243,2,0,22,2,12,1,1
50,0.615573,2,0,110,2,1,3,2
50,0.473109,1,0,65,2,10,0,2
50,0.562052,1,0,4,1,10,1,1
50,0.501692,1,0,58,1,12,0,2
50,0.674995,2,0,73,3,9,3,2
50,0.3792,1,0,135,4,3,1,1
50,0.518738,1,0,36,3,12,1,1
50,0.844636,2,0,123,3,4,3,2
50,0.613927,2,0,83,3,12,1,1
50,0.615341,2,0,131,3,4,3,2
50,0.570262,2,0,103,1,2,2,2
50,0.469858,1,0,14,2,9,1,1
50,0.685744,2,0,140,4,3,3,2
50,0.524614,2,0,29,3,10,1,1
50,0.626993,2,0,86,4,9,2,2
50,0.653043,1,0,38,4,9,1,1
50,0.590214,2,0,82,3,12,0,2
50,0.696548,2,0,9,1,11,1,1
50,0.815329,2,0,72,2,12,1,1
50,0.649402,1,0,106,1,2,3,2
50,0.618268,1,0,56,1,11,0,2
50,0.516227,1,0,31,3,11,1,1
50,0.946139,1,0,143,4,3,2,2
50,0.758118,1,0,137,4,3,3,2
50,0.683331,2,0,3,1,9,1,1
50,0.818495,2,0,12,1,12,1,1
